"Date","Origin","Year","Month","DayofMonth","DayOfWeek","DepTime","CRSDepTime","ArrTime","CRSArrTime","UniqueCarrier","ActualElapsedTime","CRSElapsedTime","AirTime","ArrDelay","DepDelay","Dest","Distance","TaxiIn","TaxiOut","Cancelled","Delay","Temp","Humidity","Pressure","Events"
2008-01-01,"LAX",2008,1,1,2,1946,1935,41,35,"WN",175,180,167,6,11,"HOU",1390,3,5,0,"Delayed",18,15,1021,"no specifiy Event"
2008-01-01,"LAX",2008,1,1,2,1641,1645,1712,1719,"OO",31,34,18,-7,-4,"ONT",47,2,11,0,"in Time",18,15,1021,"no specifiy Event"
2008-01-01,"LAX",2008,1,1,2,1316,1315,1410,1412,"OO",54,57,33,-2,1,"SBP",155,3,18,0,"in Time",18,15,1021,"no specifiy Event"
2008-01-01,"LAX",2008,1,1,2,821,829,1109,1124,"OO",108,115,91,-15,-8,"ABQ",677,5,12,0,"in Time",18,15,1021,"no specifiy Event"
2008-01-01,"LAX",2008,1,1,2,1536,1545,1657,1710,"OO",81,85,55,-13,-9,"MRY",267,3,23,0,"in Time",18,15,1021,"no specifiy Event"
2008-01-01,"LAX",2008,1,1,2,1125,1130,1206,1222,"MQ",41,52,21,-16,-5,"SBA",89,5,15,0,"in Time",18,15,1021,"no specifiy Event"
2008-01-01,"LAX",2008,1,1,2,932,922,1249,1235,"F9",137,133,119,14,10,"DEN",862,7,11,0,"Delayed",18,15,1021,"no specifiy Event"
2008-01-01,"LAX",2008,1,1,2,730,737,1032,1055,"OO",122,138,104,-23,-7,"COS",833,4,14,0,"in Time",18,15,1021,"no specifiy Event"
2008-01-01,"LAX",2008,1,1,2,857,905,926,939,"OO",29,34,14,-13,-8,"OXR",49,1,14,0,"in Time",18,15,1021,"no specifiy Event"
2008-01-01,"LAX",2008,1,1,2,1719,1240,1930,1513,"UA",131,153,112,257,279,"PDX",834,4,15,0,"Delayed",18,15,1021,"no specifiy Event"
2008-01-01,"LAX",2008,1,1,2,2223,2220,557,602,"UA",274,282,254,-5,3,"IAD",2288,4,16,0,"in Time",18,15,1021,"no specifiy Event"
2008-01-01,"LAX",2008,1,1,2,1657,1705,1800,1814,"YV",63,69,44,-14,-8,"LAS",236,6,13,0,"in Time",18,15,1021,"no specifiy Event"
2008-01-01,"LAX",2008,1,1,2,2239,2245,2326,2338,"OO",47,53,27,-12,-6,"SMX",135,3,17,0,"in Time",18,15,1021,"no specifiy Event"
2008-01-01,"LAX",2008,1,1,2,1203,1140,1733,1720,"AA",210,220,193,13,23,"STL",1593,3,14,0,"Delayed",18,15,1021,"no specifiy Event"
2008-01-01,"LAX",2008,1,1,2,1835,1841,1923,1927,"OO",48,46,25,-4,-6,"CLD",86,5,18,0,"in Time",18,15,1021,"no specifiy Event"
2008-01-01,"LAX",2008,1,1,2,1410,1233,1732,1554,"UA",142,141,114,98,97,"DEN",862,18,10,0,"Delayed",18,15,1021,"no specifiy Event"
2008-01-02,"JFK",2008,1,2,3,2123,1935,33,2220,"B6",250,225,163,133,108,"MSY",1182,7,80,0,"Delayed",-3,46,1013,"Snow"
2008-01-02,"JFK",2008,1,2,3,2230,2230,2400,2335,"MQ",90,65,37,25,0,"BOS",187,5,48,0,"Delayed",-3,46,1013,"Snow"
2008-01-02,"JFK",2008,1,2,3,1913,1905,2316,2245,"DL",423,400,344,31,8,"PDX",2454,7,72,0,"Delayed",-3,46,1013,"Snow"
2008-01-02,"JFK",2008,1,2,3,841,845,1215,1239,"DL",334,354,290,-24,-4,"PHX",2153,12,32,0,"in Time",-3,46,1013,"Snow"
2008-01-02,"JFK",2008,1,2,3,1544,1545,1901,1850,"AA",197,185,155,11,-1,"MCO",944,6,36,0,"Delayed",-3,46,1013,"Snow"
2008-01-02,"JFK",2008,1,2,3,2012,1915,6,2303,"DL",354,348,278,63,57,"SLC",1989,16,60,0,"Delayed",-3,46,1013,"Snow"
2008-01-02,"JFK",2008,1,2,3,1720,1710,1909,1850,"MQ",109,100,68,19,10,"PIT",340,2,39,0,"Delayed",-3,46,1013,"Snow"
2008-01-02,"JFK",2008,1,2,3,1758,1745,2158,2120,"AA",420,395,349,38,13,"SFO",2586,15,56,0,"Delayed",-3,46,1013,"Snow"
2008-01-02,"JFK",2008,1,2,3,2019,1935,2230,2155,"OH",191,200,105,35,44,"BNA",766,5,81,0,"Delayed",-3,46,1013,"Snow"
2008-01-02,"JFK",2008,1,2,3,31,2215,158,12,"B6",87,117,64,106,136,"PIT",340,5,18,0,"Delayed",-3,46,1013,"Snow"
2008-01-02,"JFK",2008,1,2,3,1102,1100,1418,1419,"AA",376,379,344,-1,2,"SFO",2586,4,28,0,"in Time",-3,46,1013,"Snow"
2008-01-02,"JFK",2008,1,2,3,1745,1645,2115,2058,"OH",270,313,200,17,60,"AUS",1522,6,64,0,"Delayed",-3,46,1013,"Snow"
2008-01-02,"JFK",2008,1,2,3,2219,2150,147,100,"B6",208,190,149,47,29,"FLL",1069,5,54,0,"Delayed",-3,46,1013,"Snow"
2008-01-02,"JFK",2008,1,2,3,1707,1640,2111,2037,"DL",424,417,348,34,27,"SEA",2421,7,69,0,"Delayed",-3,46,1013,"Snow"
2008-01-02,"JFK",2008,1,2,3,1031,1030,1339,1350,"AA",368,380,321,-11,1,"LAX",2475,13,34,0,"in Time",-3,46,1013,"Snow"
2008-01-02,"LAX",2008,1,2,3,1334,1337,1605,1615,"OO",91,98,72,-10,-3,"SGU",348,4,15,0,"in Time",19,22,1019,"no specifiy Event"
2008-01-02,"LAX",2008,1,2,3,1732,1739,1846,1903,"OO",74,84,54,-17,-7,"OAK",337,5,15,0,"in Time",19,22,1019,"no specifiy Event"
2008-01-02,"LAX",2008,1,2,3,1320,1310,1702,1653,"UA",342,343,293,9,10,"OGG",2486,4,45,0,"Delayed",19,22,1019,"no specifiy Event"
2008-01-02,"LAX",2008,1,2,3,1250,1255,1337,1344,"MQ",47,49,25,-7,-5,"SBA",89,6,16,0,"in Time",19,22,1019,"no specifiy Event"
2008-01-02,"LAX",2008,1,2,3,205,110,710,600,"AA",185,170,153,70,55,"DFW",1235,13,19,0,"Delayed",19,22,1019,"no specifiy Event"
2008-01-02,"LAX",2008,1,2,3,1639,1640,1753,1745,"WN",74,65,48,8,-1,"LAS",236,7,19,0,"Delayed",19,22,1019,"no specifiy Event"
2008-01-02,"LAX",2008,1,2,3,1654,1650,2243,2244,"UA",229,234,212,-1,4,"ORD",1745,5,12,0,"in Time",19,22,1019,"no specifiy Event"
2008-01-02,"LAX",2008,1,2,3,1724,1729,1808,1818,"OO",44,49,19,-10,-5,"SBA",89,3,22,0,"in Time",19,22,1019,"no specifiy Event"
2008-01-02,"LAX",2008,1,2,3,610,600,725,721,"UA",75,81,51,4,10,"SFO",337,4,20,0,"Delayed",19,22,1019,"no specifiy Event"
2008-01-02,"LAX",2008,1,2,3,7,2240,837,654,"UA",330,314,301,103,87,"EWR",2454,13,16,0,"Delayed",19,22,1019,"no specifiy Event"
2008-01-02,"LAX",2008,1,2,3,1439,1410,1526,1511,"MQ",47,61,27,15,29,"SAN",109,7,13,0,"Delayed",19,22,1019,"no specifiy Event"
2008-01-02,"LAX",2008,1,2,3,556,600,1054,1100,"AA",178,180,161,-6,-4,"DFW",1235,3,14,0,"in Time",19,22,1019,"no specifiy Event"
2008-01-02,"LAX",2008,1,2,3,1810,1709,2126,2025,"UA",136,136,107,61,61,"DEN",862,9,20,0,"Delayed",19,22,1019,"no specifiy Event"
2008-01-02,"LAX",2008,1,2,3,1847,1840,2119,2125,"AS",152,165,127,-6,7,"SEA",954,11,14,0,"in Time",19,22,1019,"no specifiy Event"
2008-01-02,"LAX",2008,1,2,3,702,705,1300,1302,"UA",238,237,213,-2,-3,"ORD",1745,5,20,0,"in Time",19,22,1019,"no specifiy Event"
2008-01-02,"LAX",2008,1,2,3,1932,1916,2245,2228,"F9",133,132,108,17,16,"DEN",862,10,15,0,"Delayed",19,22,1019,"no specifiy Event"
2008-01-02,"LAX",2008,1,2,3,1028,1025,1125,1139,"OO",57,74,43,-14,3,"FAT",209,2,12,0,"in Time",19,22,1019,"no specifiy Event"
2008-01-02,"LAX",2008,1,2,3,2225,2230,2324,2330,"OO",59,60,34,-6,-5,"SBP",155,2,23,0,"in Time",19,22,1019,"no specifiy Event"
2008-01-02,"LAX",2008,1,2,3,1044,1005,1205,1122,"XE",81,77,57,43,39,"RNO",390,5,19,0,"Delayed",19,22,1019,"no specifiy Event"
2008-01-02,"LAX",2008,1,2,3,1815,1815,2039,2038,"OO",84,83,62,1,0,"TUS",451,4,18,0,"Delayed",19,22,1019,"no specifiy Event"
2008-01-03,"JFK",2008,1,3,4,1114,1115,1445,1444,"UA",391,389,353,1,-1,"SFO",2586,9,29,0,"Delayed",-8,41,1035,"no specifiy Event"
2008-01-03,"JFK",2008,1,3,4,657,600,906,818,"OH",129,138,103,48,57,"CVG",589,2,24,0,"Delayed",-8,41,1035,"no specifiy Event"
2008-01-03,"JFK",2008,1,3,4,38,2200,151,2340,"B6",73,100,49,131,158,"RIC",288,3,21,0,"Delayed",-8,41,1035,"no specifiy Event"
2008-01-03,"JFK",2008,1,3,4,825,825,1142,1140,"B6",377,375,330,2,0,"LGB",2465,12,35,0,"Delayed",-8,41,1035,"no specifiy Event"
2008-01-03,"JFK",2008,1,3,4,1529,1504,1805,1755,"DL",156,171,104,10,25,"ATL",760,6,46,0,"Delayed",-8,41,1035,"no specifiy Event"
2008-01-03,"JFK",2008,1,3,4,931,855,1226,1158,"B6",355,363,306,28,36,"LAS",2248,7,42,0,"Delayed",-8,41,1035,"no specifiy Event"
2008-01-03,"JFK",2008,1,3,4,1755,1700,1948,1915,"B6",113,135,83,33,55,"CLT",541,3,27,0,"Delayed",-8,41,1035,"no specifiy Event"
2008-01-03,"JFK",2008,1,3,4,2125,2000,2310,2202,"OH",105,122,41,68,85,"DCA",213,2,62,0,"Delayed",-8,41,1035,"no specifiy Event"
2008-01-03,"JFK",2008,1,3,4,814,730,1128,1050,"AA",374,380,328,38,44,"LAX",2475,14,32,0,"Delayed",-8,41,1035,"no specifiy Event"
2008-01-03,"JFK",2008,1,3,4,830,830,1035,1034,"OH",125,124,73,1,0,"RDU",426,2,50,0,"Delayed",-8,41,1035,"no specifiy Event"
2008-01-03,"JFK",2008,1,3,4,904,850,1134,1140,"DL",150,170,98,-6,14,"ATL",760,5,47,0,"in Time",-8,41,1035,"no specifiy Event"
2008-01-03,"JFK",2008,1,3,4,1836,1735,2136,2155,"OH",240,320,202,-19,61,"AUS",1522,6,32,0,"in Time",-8,41,1035,"no specifiy Event"
2008-01-03,"LAX",2008,1,3,4,1453,1450,2254,2235,"AA",301,285,267,19,3,"IAD",2288,8,26,0,"Delayed",16,50,1019,"no specifiy Event"
2008-01-03,"LAX",2008,1,3,4,1814,1811,1943,1936,"OO",89,85,62,7,3,"MRY",267,5,22,0,"Delayed",16,50,1019,"no specifiy Event"
2008-01-03,"LAX",2008,1,3,4,1055,1105,1622,1610,"AA",207,185,153,12,-10,"DFW",1235,15,39,0,"Delayed",16,50,1019,"no specifiy Event"
2008-01-03,"LAX",2008,1,3,4,2245,2055,7,2218,"AS",82,83,68,109,110,"SFO",337,4,10,0,"Delayed",16,50,1019,"no specifiy Event"
2008-01-03,"LAX",2008,1,3,4,626,625,724,730,"WN",58,65,45,-6,1,"LAS",236,3,10,0,"in Time",16,50,1019,"no specifiy Event"
2008-01-03,"LAX",2008,1,3,4,607,615,1454,1431,"UA",347,316,299,23,-8,"JFK",2475,8,40,0,"Delayed",16,50,1019,"no specifiy Event"
2008-01-03,"LAX",2008,1,3,4,1019,1022,1144,1150,"OO",85,88,62,-6,-3,"SMF",373,4,19,0,"in Time",16,50,1019,"no specifiy Event"
2008-01-03,"LAX",2008,1,3,4,1055,1040,1840,1829,"UA",285,289,253,11,15,"IAD",2288,7,25,0,"Delayed",16,50,1019,"no specifiy Event"
2008-01-03,"LAX",2008,1,3,4,745,736,1030,1021,"OO",105,105,82,9,9,"SLC",590,9,14,0,"Delayed",16,50,1019,"no specifiy Event"
2008-01-03,"LAX",2008,1,3,4,1441,1445,1807,1842,"NW",326,357,307,-35,-4,"HNL",2556,4,15,0,"in Time",16,50,1019,"no specifiy Event"
2008-01-03,"LAX",2008,1,3,4,626,630,1155,1209,"NW",209,219,184,-14,-4,"MSP",1536,9,16,0,"in Time",16,50,1019,"no specifiy Event"
2008-01-03,"LAX",2008,1,3,4,1712,1620,2030,1932,"XE",138,132,110,58,52,"DEN",862,10,18,0,"Delayed",16,50,1019,"no specifiy Event"
2008-01-03,"LAX",2008,1,3,4,613,600,1205,1159,"AA",232,239,208,6,13,"ORD",1745,8,16,0,"Delayed",16,50,1019,"no specifiy Event"
2008-01-03,"LAX",2008,1,3,4,2146,2145,624,603,"DL",338,318,280,21,1,"JFK",2475,23,35,0,"Delayed",16,50,1019,"no specifiy Event"
2008-01-03,"LAX",2008,1,3,4,2004,1755,2140,1923,"XE",96,88,70,137,129,"SFO",337,12,14,0,"Delayed",16,50,1019,"no specifiy Event"
2008-01-03,"LAX",2008,1,3,4,2015,1900,2321,2218,"OO",126,138,101,63,75,"COS",833,4,21,0,"Delayed",16,50,1019,"no specifiy Event"
2008-01-03,"LAX",2008,1,3,4,1337,1310,1825,1825,"WN",168,195,154,0,27,"MCI",1363,5,9,0,"in Time",16,50,1019,"no specifiy Event"
2008-01-03,"LAX",2008,1,3,4,727,737,1031,1055,"OO",124,138,102,-24,-10,"COS",833,4,18,0,"in Time",16,50,1019,"no specifiy Event"
2008-01-04,"JFK",2008,1,4,5,1339,1335,1622,1628,"B6",163,173,143,-6,4,"PBI",1028,4,16,0,"in Time",-3,44,1034,"no specifiy Event"
2008-01-04,"JFK",2008,1,4,5,2119,2120,2343,2355,"B6",264,275,237,-12,-1,"DEN",1626,7,20,0,"in Time",-3,44,1034,"no specifiy Event"
2008-01-04,"JFK",2008,1,4,5,2247,2250,2344,10,"B6",57,80,34,-26,-3,"BOS",187,4,19,0,"in Time",-3,44,1034,"no specifiy Event"
2008-01-04,"JFK",2008,1,4,5,1244,1254,1340,1355,"OH",56,61,26,-15,-10,"BDL",106,10,20,0,"in Time",-3,44,1034,"no specifiy Event"
2008-01-04,"JFK",2008,1,4,5,2252,2255,2352,9,"B6",60,74,40,-17,-3,"SYR",209,3,17,0,"in Time",-3,44,1034,"no specifiy Event"
2008-01-04,"JFK",2008,1,4,5,943,940,1226,1242,"US",343,362,316,-16,3,"LAS",2248,7,20,0,"in Time",-3,44,1034,"no specifiy Event"
2008-01-04,"JFK",2008,1,4,5,1608,1615,1748,1810,"B6",100,115,71,-22,-7,"RDU",426,2,27,0,"in Time",-3,44,1034,"no specifiy Event"
2008-01-04,"JFK",2008,1,4,5,2101,1825,48,2210,"B6",407,405,371,158,156,"SFO",2586,16,20,0,"Delayed",-3,44,1034,"no specifiy Event"
2008-01-04,"JFK",2008,1,4,5,741,740,1037,1031,"US",356,351,318,6,1,"LAS",2248,4,34,0,"Delayed",-3,44,1034,"no specifiy Event"
2008-01-04,"JFK",2008,1,4,5,1708,1700,2034,2020,"AA",386,380,359,14,8,"SEA",2421,6,21,0,"Delayed",-3,44,1034,"no specifiy Event"
2008-01-04,"JFK",2008,1,4,5,633,625,737,730,"B6",64,65,39,7,8,"BOS",187,7,18,0,"Delayed",-3,44,1034,"no specifiy Event"
2008-01-04,"JFK",2008,1,4,5,2224,2230,2329,2345,"MQ",65,75,51,-16,-6,"DCA",213,2,12,0,"in Time",-3,44,1034,"no specifiy Event"
2008-01-04,"JFK",2008,1,4,5,1700,1640,1941,1950,"B6",161,190,136,-9,20,"TPA",1005,6,19,0,"in Time",-3,44,1034,"no specifiy Event"
2008-01-04,"JFK",2008,1,4,5,1804,1745,2209,2120,"AA",425,395,376,49,19,"SFO",2586,11,38,0,"Delayed",-3,44,1034,"no specifiy Event"
2008-01-04,"LAX",2008,1,4,5,1516,1425,1627,1530,"WN",71,65,54,57,51,"SJC",308,3,14,0,"Delayed",14,83,1017,"Rain"
2008-01-04,"LAX",2008,1,4,5,851,850,1427,1440,"WN",216,230,200,-13,1,"MDW",1750,5,11,0,"in Time",14,83,1017,"Rain"
2008-01-04,"LAX",2008,1,4,5,1532,1400,1709,1520,"XE",97,80,63,109,92,"SJC",308,5,29,0,"Delayed",14,83,1017,"Rain"
2008-01-04,"LAX",2008,1,4,5,1100,1100,1223,1220,"MQ",83,80,64,3,0,"SJC",308,4,15,0,"Delayed",14,83,1017,"Rain"
2008-01-04,"LAX",2008,1,4,5,1106,1100,1938,1930,"AA",332,330,296,8,6,"JFK",2475,6,30,0,"Delayed",14,83,1017,"Rain"
2008-01-04,"LAX",2008,1,4,5,1136,1100,1434,1343,"UA",178,163,127,51,36,"SEA",954,15,36,0,"Delayed",14,83,1017,"Rain"
2008-01-04,"LAX",2008,1,4,5,1833,1709,2201,2025,"UA",148,136,106,96,84,"DEN",862,9,33,0,"Delayed",14,83,1017,"Rain"
2008-01-04,"LAX",2008,1,4,5,2000,1825,2159,1945,"AA",119,80,68,134,95,"SFO",337,6,45,0,"Delayed",14,83,1017,"Rain"
2008-01-04,"LAX",2008,1,4,5,1556,1505,1633,1539,"OO",37,34,14,54,51,"SNA",36,3,20,0,"Delayed",14,83,1017,"Rain"
2008-01-04,"LAX",2008,1,4,5,908,900,956,953,"OO",48,53,33,3,8,"SAN",109,2,13,0,"Delayed",14,83,1017,"Rain"
2008-01-04,"LAX",2008,1,4,5,2158,2100,2344,2225,"OO",106,85,70,79,58,"MOD",292,3,33,0,"Delayed",14,83,1017,"Rain"
2008-01-04,"LAX",2008,1,4,5,802,700,1521,1431,"CO",259,271,236,50,62,"CLE",2053,6,17,0,"Delayed",14,83,1017,"Rain"
2008-01-04,"LAX",2008,1,4,5,829,825,1638,1648,"UA",309,323,279,-10,4,"JFK",2475,8,22,0,"in Time",14,83,1017,"Rain"
2008-01-04,"LAX",2008,1,4,5,43,2240,926,658,"UA",343,318,287,148,123,"BOS",2611,7,49,0,"Delayed",14,83,1017,"Rain"
2008-01-04,"LAX",2008,1,4,5,1901,1855,2009,2006,"XE",68,71,41,3,6,"LAS",236,9,18,0,"Delayed",14,83,1017,"Rain"
2008-01-04,"LAX",2008,1,4,5,1220,1139,1312,1213,"OO",52,34,19,59,41,"OXR",49,4,29,0,"Delayed",14,83,1017,"Rain"
2008-01-05,"JFK",2008,1,5,6,1633,1620,1849,1903,"DL",136,163,105,-14,13,"CVG",589,7,24,0,"in Time",1,63,1028,"Rain"
2008-01-05,"JFK",2008,1,5,6,1808,1620,2217,1955,"DL",429,395,364,142,108,"LAX",2475,20,45,0,"Delayed",1,63,1028,"Rain"
2008-01-05,"JFK",2008,1,5,6,808,810,1050,1120,"B6",162,190,141,-30,-2,"TPA",1005,5,16,0,"in Time",1,63,1028,"Rain"
2008-01-05,"JFK",2008,1,5,6,1937,1940,2305,2318,"B6",388,398,357,-13,-3,"SMF",2521,5,26,0,"in Time",1,63,1028,"Rain"
2008-01-05,"JFK",2008,1,5,6,1058,1100,1440,1419,"AA",402,379,375,21,-2,"SFO",2586,8,19,0,"Delayed",1,63,1028,"Rain"
2008-01-05,"JFK",2008,1,5,6,1335,1330,1448,1457,"OH",73,87,48,-9,5,"BTV",267,7,18,0,"in Time",1,63,1028,"Rain"
2008-01-05,"LAX",2008,1,5,6,1326,1255,1858,1850,"WN",212,235,198,8,31,"MDW",1750,4,10,0,"Delayed",14,85,1014,"Rain"
2008-01-05,"LAX",2008,1,5,6,845,845,949,953,"UA",64,68,41,-4,0,"LAS",236,5,18,0,"in Time",14,85,1014,"Rain"
2008-01-05,"LAX",2008,1,5,6,340,55,1038,803,"DL",238,248,212,155,165,"ATL",1946,12,14,0,"Delayed",14,85,1014,"Rain"
2008-01-05,"LAX",2008,1,5,6,1122,1118,1326,1243,"OO",124,85,89,43,4,"OAK",337,6,29,0,"Delayed",14,85,1014,"Rain"
2008-01-05,"LAX",2008,1,5,6,2112,2000,2211,2100,"MQ",59,60,33,71,72,"SAN",109,4,22,0,"Delayed",14,85,1014,"Rain"
2008-01-05,"LAX",2008,1,5,6,1631,1635,1727,1725,"MQ",56,50,32,2,-4,"SBA",89,6,18,0,"Delayed",14,85,1014,"Rain"
2008-01-05,"LAX",2008,1,5,6,1907,1800,2030,1915,"WN",83,75,70,75,67,"OAK",337,6,7,0,"Delayed",14,85,1014,"Rain"
2008-01-05,"LAX",2008,1,5,6,1350,1218,1657,1534,"UA",127,136,99,83,92,"DEN",862,6,22,0,"Delayed",14,85,1014,"Rain"
2008-01-05,"LAX",2008,1,5,6,1305,1145,1433,1310,"OO",88,85,67,83,80,"MOD",292,4,17,0,"Delayed",14,85,1014,"Rain"
2008-01-05,"LAX",2008,1,5,6,1409,1400,1526,1515,"WN",77,75,65,11,9,"OAK",337,5,7,0,"Delayed",14,85,1014,"Rain"
2008-01-05,"LAX",2008,1,5,6,1932,1935,2040,2051,"MQ",68,76,52,-11,-3,"FAT",209,4,12,0,"in Time",14,85,1014,"Rain"
2008-01-05,"LAX",2008,1,5,6,1032,735,1246,856,"UA",134,81,106,230,177,"SFO",337,9,19,0,"Delayed",14,85,1014,"Rain"
2008-01-05,"LAX",2008,1,5,6,1328,1330,1443,1440,"MQ",75,70,48,3,-2,"LAS",236,7,20,0,"Delayed",14,85,1014,"Rain"
2008-01-05,"LAX",2008,1,5,6,755,800,916,915,"WN",81,75,66,1,-5,"OAK",337,5,10,0,"Delayed",14,85,1014,"Rain"
2008-01-05,"LAX",2008,1,5,6,847,846,1059,1105,"OO",72,79,53,-6,1,"PHX",370,6,13,0,"in Time",14,85,1014,"Rain"
2008-01-05,"LAX",2008,1,5,6,2355,2315,647,634,"CO",232,259,210,13,40,"CLE",2053,6,16,0,"Delayed",14,85,1014,"Rain"
2008-01-05,"LAX",2008,1,5,6,1000,1000,1239,1125,"AA",159,85,102,74,0,"SFO",337,16,41,0,"Delayed",14,85,1014,"Rain"
2008-01-05,"LAX",2008,1,5,6,1040,1000,1154,1119,"MQ",74,79,55,35,40,"FAT",209,4,15,0,"Delayed",14,85,1014,"Rain"
2008-01-05,"LAX",2008,1,5,6,1723,1710,2101,2054,"UA",338,344,323,7,13,"KOA",2504,4,11,0,"Delayed",14,85,1014,"Rain"
2008-01-05,"LAX",2008,1,5,6,2211,2055,2347,2218,"AS",96,83,71,89,76,"SFO",337,8,17,0,"Delayed",14,85,1014,"Rain"
2008-01-05,"LAX",2008,1,5,6,1008,1000,1127,1115,"WN",79,75,69,12,8,"OAK",337,4,6,0,"Delayed",14,85,1014,"Rain"
2008-01-05,"LAX",2008,1,5,6,631,630,941,952,"UA",130,142,99,-11,1,"DEN",862,5,26,0,"in Time",14,85,1014,"Rain"
2008-01-05,"LAX",2008,1,5,6,1244,1245,1347,1352,"MQ",63,67,39,-5,-1,"SBP",155,6,18,0,"in Time",14,85,1014,"Rain"
2008-01-05,"LAX",2008,1,5,6,1620,1550,1834,1812,"US",74,82,57,22,30,"PHX",370,6,11,0,"Delayed",14,85,1014,"Rain"
2008-01-06,"JFK",2008,1,6,7,1930,1935,2043,2124,"OH",73,109,35,-41,-5,"PHL",94,7,31,0,"in Time",4,77,1024,"Rain"
2008-01-06,"JFK",2008,1,6,7,1630,1550,1839,1816,"OH",129,146,85,23,40,"DTW",508,15,29,0,"Delayed",4,77,1024,"Rain"
2008-01-06,"JFK",2008,1,6,7,2003,1950,2310,2315,"B6",187,205,149,-5,13,"FLL",1069,2,36,0,"in Time",4,77,1024,"Rain"
2008-01-06,"JFK",2008,1,6,7,821,825,1007,1026,"B6",106,121,76,-19,-4,"CMH",483,4,26,0,"in Time",4,77,1024,"Rain"
2008-01-06,"JFK",2008,1,6,7,557,600,1026,1038,"B6",209,218,188,-12,-3,"BQN",1576,3,18,0,"in Time",4,77,1024,"Rain"
2008-01-06,"JFK",2008,1,6,7,808,810,1106,1120,"B6",178,190,138,-14,-2,"TPA",1005,6,34,0,"in Time",4,77,1024,"Rain"
2008-01-06,"JFK",2008,1,6,7,1006,1000,1255,1309,"B6",169,189,139,-14,6,"PBI",1028,4,26,0,"in Time",4,77,1024,"Rain"
2008-01-06,"JFK",2008,1,6,7,2248,2255,4,9,"B6",76,74,41,-5,-7,"SYR",209,5,30,0,"in Time",4,77,1024,"Rain"
2008-01-06,"LAX",2008,1,6,7,1411,1400,1458,1452,"OO",47,52,32,6,11,"SAN",109,4,11,0,"Delayed",12,74,1014,"Rain"
2008-01-06,"LAX",2008,1,6,7,2021,1916,2117,2008,"OO",56,52,34,69,65,"IYK",123,3,19,0,"Delayed",12,74,1014,"Rain"
2008-01-06,"LAX",2008,1,6,7,1632,1635,1711,1725,"MQ",39,50,27,-14,-3,"SBA",89,2,10,0,"in Time",12,74,1014,"Rain"
2008-01-06,"LAX",2008,1,6,7,1705,1630,1826,1745,"WN",81,75,68,41,35,"OAK",337,4,9,0,"Delayed",12,74,1014,"Rain"
2008-01-06,"LAX",2008,1,6,7,2032,2035,2149,2145,"MQ",77,70,59,4,-3,"SJC",308,6,12,0,"Delayed",12,74,1014,"Rain"
